0 0.106295 0.006743 0.006866
5 0.020341 0.020222 0.020261
10 0.032974 0.033232 0.033205
15 0.045069 0.044825 0.045292
20 0.055312 0.055087 0.055511
25 0.064107 0.164093 0.064418
30 0.071218 0.07129 0.070707
35 0.075706 0.075864 0.075407
40 0.078166 0.078739 0.078199
45 0.07809 0.078107 0.07832
50 0.076089 0.07578 0.07556
55 0.071115 0.071313 0.170844
60 0.064492 0.064169 0.064032
65 0.055515 0.055582 0.055565
70 0.045224 0.044959 0.045495
75 0.033035 0.033077 0.033335
80 0.020441 0.020103 0.02023
85 0.006811 0.006815 0.006753
